name	lat	lon	region	hub	catchment	crop	qty
Adrian Chuulu Home	-14.51166337	29.11335841	Kapiri	Likumbi	Likumbi	Groundnut	751.00
Adrian Chuulu Home	-14.51166337	29.11335841	Kapiri	Likumbi	Likumbi	Soy Bean	35547.00
Agripa Lombe - Musungu	-10.1488532	29.7542039	Northern	Kawambwa	Kawambwa	Navy Bean	19761.00
Agripa Lombe - Musungu	-10.1488532	29.7542039	Northern	Kawambwa	Kawambwa	Sugar bean	3721.00
Aitana BP	-13.7448867	32.2494633	Kasenengwa	Kasenengwa	Ng'ongwe	Cowpea	299.00
Aitana BP	-13.7448867	32.2494633	Kasenengwa	Kasenengwa	Ng'ongwe	Soy Bean	39829.00
Aitana BP	-13.7448867	32.2494633	Kasenengwa	Kasenengwa	Ng'ongwe	Sunflower	88.00
Aitana BP	-13.7448867	32.2494633	Kasenengwa	Kasenengwa	Ng'ongwe	Sunnhemp	0.00
Albert Musonda - Musundu	-10.027736	29.8969394	Northern	Kawambwa	Kawambwa	Navy Bean	10608.00
Albert Musonda - Musundu	-10.027736	29.8969394	Northern	Kawambwa	Kawambwa	Sugar bean	3172.00
Aliel	-13.89655	32.15112	Katete	Katete-Thiwi	Thiwi	Soy Bean	14100.00
Amon Phiri - Msokosela	-14.013029	32.540957	Chadiza	Chadiza East	Chadiza East B	Soy Bean	21123.00
Amon Phiri - Msokosela	-14.013029	32.540957	Chadiza	Chadiza East	Chadiza East B	Sunflower	150.00
Amon Phiri - Msokosela	-14.013029	32.540957	Chadiza	Chadiza East	Chadiza East B	Sunnhemp	509.00
Atison Chimawe Home	-14.44359	28.99267	Kapiri	Likumbi	Likumbi	Groundnut	1872.00
Atison Chimawe Home	-14.44359	28.99267	Kapiri	Likumbi	Likumbi	Soy Bean	35488.00
Baza farm	-12.077042	32.932215	Chipangali	Chasefu	Chasefu	Groundnut	5509.00
Baza farm	-12.077042	32.932215	Chipangali	Chasefu	Chasefu	Soy Bean	1028.00
Beatrice Nyirongo - Chasamwa	-12.18498	33.089649	Chipangali	Nkhanga	Nkhanga	Soy Bean	0.00
BERNARD  MATOKA	-12.2374244	25.5705138	North-Western	Mukumbi	Mukumbi	Sugar bean	875.00
Blessed SNV BBP	-12.50569	33.402329	Chipangali	Chasefu	KAMBALE	Groundnut	1129.00
Brasho	-13.476525	32.299009	Chipangali	Mphomwa	Mkowe	Soy Bean	9300.00
Bulking Center	-10.447188	30.122499	Northern	Luwingu	Luwingu B	Navy Bean	2084.00
Bulking Center	-10.447188	30.122499	Northern	Luwingu	Luwingu B	Sugar bean	23529.00
Buyanshi	-10.01527	29.95746	Northern	Lunte	Lunte C	Navy Bean	450.00
Buyantanshi	-10.01527	29.98746	Northern	Lunte	Lunte C	Navy Bean	11625.00
Buyantanshi	-10.01527	29.98746	Northern	Lunte	Lunte C	Sugar bean	1794.00
Bwanga BBP Shed	-10.36534	30.08668	Northern	Luwingu	Luwingu A	Navy Bean	4865.00
Bwanga BBP Shed	-10.36534	30.08668	Northern	Luwingu	Luwingu A	Sugar bean	7371.00
Catherine Bwalya - Nkandabana	-9.95542	29.96278	Northern	Lunte	Lunte C	Navy Bean	10604.00
Catherine Bwalya - Nkandabana	-9.95542	29.96278	Northern	Lunte	Lunte C	Sugar bean	1319.00
Chadiza Boma Aggregation Shed	-14.067541	32.445083	Chadiza	Chadiza East	Chadiza East B	Sunnhemp	233.00
Chalimbana	-13.782385	31.994883	Katete	Katete-Thiwi	Thiwi	Soy Bean	8484.00
Chamoto	-13.362562	32.619177	Chipangali	Chinunda	Chitandika	Groundnut	1269.00
Chamoto	-13.362562	32.619177	Chipangali	Chinunda	Chitandika	Soy Bean	27669.00
Champhero	-12.186808	33.00132	Chipangali	Nkhanga	Nkhanga	Groundnut	1440.00
Chanda BBP	-10.2856883	30.1484883	Northern	Luwingu	Luwingu A	Navy Bean	3152.00
Chanda BBP	-10.2856883	30.1484883	Northern	Luwingu	Luwingu A	Sugar bean	11408.00
Chanjoka	-14.23422	31.900375	Katete	Chanjoka-Kameta	Katete B	Soy Bean	10462.00
Chankomo	-13.8470175	29.2137344	Kapiri	Mpula 1	Mpula 1	Groundnut	1024.00
Chankomo	-13.8470175	29.2137344	Kapiri	Mpula 1	Mpula 1	Soy Bean	159524.00
Chaola	-13.437677	32.472151	Chipangali	Mnukwa	Mnukwa	Groundnut	262.00
Chaola	-13.437677	32.472151	Chipangali	Mnukwa	Mnukwa	Soy Bean	57670.00
Chaola Shed	-13.6176836	32.0810814	Kasenengwa	Kasenengwa	Mzapawi	Cowpea	19.00
Chaola Shed	-13.6176836	32.0810814	Kasenengwa	Kasenengwa	Mzapawi	Groundnut	2139.00
Chaola Shed	-13.6176836	32.0810814	Kasenengwa	Kasenengwa	Mzapawi	Soy Bean	33782.00
Chaola Shed	-13.6176836	32.0810814	Kasenengwa	Kasenengwa	Mzapawi	Sunnhemp	11.00
Chasamwa	-12.183159	33.093865	Chipangali	Nkhanga	Nkhanga	Groundnut	2760.00
Chasamwa	-12.183159	33.093865	Chipangali	Nkhanga	Nkhanga	Soy Bean	405.00
Chenda Eka	-10.0621483	30.211667	Northern	Lunte	Lunte B	Navy Bean	20022.00
Chenda Eka	-10.0621483	30.211667	Northern	Lunte	Lunte B	Sugar bean	18398.00
Chenda Eka	-10.0621483	30.211667	Northern	Lunte	Lunte C	Navy Bean	150.00
Chenda Eka	-10.0621483	30.211667	Northern	Lunte	Lunte D	Navy Bean	120.00
Chiguya	-13.829309	32.198951	Kasenengwa	Kasenengwa	Kwenje A	Soy Bean	23137.00
Chikaya	-10.4476269	29.2497619	Northern	Chipili	Chipili	Navy Bean	9456.00
Chikaya	-10.4476269	29.2497619	Northern	Chipili	Chipili	Sugar bean	2678.00
Chikoba	-13.408986	32.0851814	Chipangali	Mphomwa	Chisengu	Soy Bean	24700.00
Chikokola	-13.372095	32.4114	Chipangali	Mnukwa	Mnukwa	Groundnut	792.00
Chikokola	-13.372095	32.4114	Chipangali	Mnukwa	Mnukwa	Soy Bean	41950.00
Chikoti BBP	-10.24882266	30.05054791	Northern	Luwingu	Luwingu A	Sugar bean	10174.00
Chikumbe	-13.49005	32.378628	Chipangali	Mphomwa	Mkowe	Soy Bean	8532.00
Chikungu farms	-13.787768	32.21976	Kasenengwa	Kasenengwa	Kwenje B	Soy Bean	51228.00
Chikungu farms	-13.787768	32.21976	Kasenengwa	Kasenengwa	Kwenje B	Sunnhemp	27.00
Chikuyu	-12.099484	33.027034	Chipangali	Nkhanga	Nkhanga	Groundnut	11096.00
Chikuyu	-12.099484	33.027034	Chipangali	Nkhanga	Nkhanga	Soy Bean	2658.00
Chikwa	-14.10616	32.0304	Katete	Chanjoka-Kameta	Katete A	Soy Bean	6940.00
Chikwanda	-9.4149615	31.5164642	Northern	Senga Hill	Kavumbo	Sugar bean	18114.00
Chilale	-13.422551	32.355506	Chipangali	Mphomwa	Kamwanjiri	Soy Bean	18175.00
Chilambo	-13.176365	31.948562	Chipangali	Mphomwa	Chisengu	Soy Bean	9597.00
Chilangwa	-9.5896519	31.2910787	Northern	Senga Hill	Senga	Navy Bean	5803.00
Chilangwa	-9.5896519	31.2910787	Northern	Senga Hill	Senga	Sugar bean	7.00
Chilasa	-14.251127	31.9550917	Katete	Chanjoka-Kameta	Katete B	Soy Bean	4105.00
Chilingondi	-14.097302	32.111377	Katete	Chanjoka-Kameta	Katete A	Soy Bean	9163.00
Chilwa	-8.9393847	31.072499	Northern	Vyamba	Vyamba	Navy Bean	909.00
Chilwa	-8.9393847	31.072499	Northern	Vyamba	Vyamba	Sugar bean	36612.00
Chimasula	-13.7433183	31.951325	Katete	Katete-Thiwi	Thiwi	Soy Bean	46296.00
Chimwala	-13.226456	32.660201	Chipangali	Chinunda	Chitandika	Groundnut	446.00
